epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8463,1.53577,2.73341,1.37184,0.35144,0.66404,0.40996,0.16187,1.86432,1.96405,1.36819,0.000472725,0.000472725,0.000472725
2,81.3698,1.5108,2.1297,1.36574,0.37971,0.69761,0.42437,0.18109,1.90256,2.44843,1.46427,0.000930267,0.000930267,0.000930267
3,117.469,1.54382,1.79907,1.38496,0.43637,0.58291,0.52445,0.21213,1.99518,1.66589,1.57326,0.00136895,0.00136895,0.00136895
4,152.93,1.52337,1.6198,1.37715,0.51185,0.75002,0.64506,0.24265,2.07237,1.37358,1.53952,0.00134412,0.00134412,0.00134412
5,187.776,1.49056,1.45748,1.3602,0.69456,0.69151,0.74642,0.31482,1.92138,1.17446,1.42774,0.00131582,0.00131582,0.00131582
6,223.738,1.48304,1.33324,1.34437,0.84785,0.80461,0.87608,0.26983,2.27841,1.0792,1.6191,0.00128753,0.00128753,0.00128753
7,259.642,1.46943,1.27536,1.33583,0.8739,0.87604,0.93403,0.42708,1.86577,0.92874,1.37227,0.00125923,0.00125923,0.00125923
8,294.456,1.41995,1.20434,1.31066,0.85867,0.84366,0.92688,0.37516,2.04064,0.99414,1.49933,0.00123094,0.00123094,0.00123094
9,329.661,1.4155,1.15958,1.30201,0.90408,0.87403,0.94107,0.41809,1.92504,0.92006,1.41358,0.00120265,0.00120265,0.00120265
10,365.122,1.39542,1.1185,1.28788,0.90071,0.91259,0.96051,0.45917,1.78946,0.80719,1.32012,0.00117435,0.00117435,0.00117435
11,400.326,1.39878,1.12823,1.29242,0.89043,0.87903,0.93536,0.39837,1.99678,0.91064,1.46418,0.00114606,0.00114606,0.00114606
12,435.49,1.36864,1.08473,1.27899,0.94838,0.91448,0.95516,0.4098,1.99784,0.81523,1.45882,0.00111776,0.00111776,0.00111776
13,471.278,1.35891,1.05933,1.28016,0.91931,0.8097,0.92246,0.39387,1.85846,0.8285,1.3645,0.00108947,0.00108947,0.00108947
14,507.071,1.35239,1.00558,1.27116,0.92251,0.95454,0.95863,0.44338,1.75561,0.83247,1.43204,0.00106118,0.00106118,0.00106118
15,541.74,1.32615,0.99416,1.25339,0.94385,0.90396,0.96708,0.45193,1.83685,0.73268,1.37142,0.00103288,0.00103288,0.00103288
16,577.775,1.35998,1.00446,1.27271,0.93326,0.86127,0.9419,0.44634,1.79078,0.77955,1.33632,0.00100459,0.00100459,0.00100459
17,613.178,1.33028,0.98372,1.26447,0.91281,0.93804,0.97381,0.42902,1.95659,0.78523,1.50274,0.000976293,0.000976293,0.000976293
18,648.189,1.30734,0.96746,1.24889,0.92914,0.91335,0.95668,0.50497,1.68914,0.71398,1.28086,0.000947999,0.000947999,0.000947999
19,683.546,1.28281,0.91112,1.22154,0.90576,0.91154,0.97097,0.44294,1.90778,0.72825,1.42959,0.000919704,0.000919704,0.000919704
20,719.111,1.26179,0.8896,1.21662,0.93914,0.94135,0.97528,0.53602,1.52464,0.66529,1.21329,0.00089141,0.00089141,0.00089141
21,754.59,1.26074,0.9068,1.22121,0.93304,0.90501,0.97007,0.55609,1.4444,0.64018,1.17183,0.000863116,0.000863116,0.000863116
22,789.488,1.25939,0.89725,1.22136,0.9725,0.94179,0.98292,0.51384,1.65085,0.65873,1.27939,0.000834822,0.000834822,0.000834822
23,825.205,1.2424,0.84738,1.19986,0.95901,0.93123,0.97566,0.50437,1.71368,0.69341,1.29651,0.000806528,0.000806528,0.000806528
24,860.843,1.24041,0.85997,1.2141,0.96466,0.9579,0.98702,0.52419,1.70958,0.6518,1.28822,0.000778233,0.000778233,0.000778233
25,895.737,1.22819,0.85296,1.20185,0.94912,0.92835,0.98264,0.57539,1.46602,0.60765,1.16472,0.000749939,0.000749939,0.000749939
26,931.324,1.23299,0.82145,1.20739,0.9741,0.9629,0.98846,0.49042,1.75411,0.6655,1.33255,0.000721645,0.000721645,0.000721645
27,967.18,1.22078,0.82203,1.20253,0.91538,0.9607,0.98523,0.45776,1.83655,0.65841,1.39133,0.000693351,0.000693351,0.000693351
28,1002.31,1.19067,0.78502,1.18294,0.96112,0.95743,0.98599,0.48824,1.77516,0.67718,1.31373,0.000665057,0.000665057,0.000665057
29,1037.4,1.1854,0.78923,1.19066,0.93472,0.94196,0.97203,0.56718,1.42338,0.62798,1.16483,0.000636762,0.000636762,0.000636762
30,1072.85,1.17227,0.79624,1.18319,0.96894,0.92677,0.98084,0.58795,1.40666,0.58343,1.16044,0.000608468,0.000608468,0.000608468
31,1108.56,1.18,0.7689,1.17849,0.96136,0.9225,0.97254,0.52416,1.62059,0.62887,1.22908,0.000580174,0.000580174,0.000580174
32,1143.03,1.17365,0.77658,1.16233,0.95407,0.92932,0.97613,0.52347,1.56351,0.61792,1.25085,0.00055188,0.00055188,0.00055188
33,1178.67,1.14491,0.76163,1.16932,0.96443,0.96018,0.98072,0.52117,1.64328,0.60859,1.25175,0.000523586,0.000523586,0.000523586
34,1214.4,1.13754,0.74075,1.15338,0.96615,0.96221,0.98285,0.58475,1.41427,0.56066,1.15463,0.000495291,0.000495291,0.000495291
35,1249.46,1.13336,0.73933,1.15447,0.9655,0.96187,0.98572,0.51854,1.59341,0.60046,1.25631,0.000466997,0.000466997,0.000466997
36,1284.54,1.11053,0.71129,1.14168,0.95421,0.94945,0.97713,0.56365,1.48334,0.60364,1.19131,0.000438703,0.000438703,0.000438703
37,1320.14,1.12453,0.70439,1.15078,0.9648,0.95811,0.9823,0.60609,1.33039,0.55161,1.10946,0.000410409,0.000410409,0.000410409
38,1355.59,1.09092,0.69369,1.13935,0.95736,0.95326,0.98625,0.59815,1.4336,0.54858,1.15114,0.000382115,0.000382115,0.000382115
39,1390.53,1.08848,0.69284,1.13276,0.95115,0.94747,0.98253,0.57971,1.4529,0.5684,1.165,0.00035382,0.00035382,0.00035382
40,1425.78,1.08197,0.6802,1.12779,0.96996,0.946,0.98374,0.63295,1.27641,0.53491,1.10461,0.000325526,0.000325526,0.000325526
41,1458.98,1.04463,0.55384,1.10812,0.95563,0.97391,0.98425,0.61461,1.35471,0.54409,1.11501,0.000297232,0.000297232,0.000297232
42,1491.29,1.03283,0.54173,1.10543,0.97159,0.96132,0.9865,0.57639,1.50102,0.55427,1.18324,0.000268938,0.000268938,0.000268938
43,1524.33,1.00916,0.51203,1.08817,0.96602,0.94367,0.98397,0.60536,1.3518,0.5354,1.12369,0.000240644,0.000240644,0.000240644
44,1557.18,1.00555,0.51619,1.08093,0.97671,0.94997,0.98936,0.63829,1.2854,0.511,1.09028,0.000212349,0.000212349,0.000212349
45,1589.83,0.96704,0.50579,1.06526,0.96974,0.95854,0.98801,0.60538,1.41216,0.53954,1.13986,0.000184055,0.000184055,0.000184055
46,1621.65,0.9756,0.49347,1.06508,0.97563,0.96522,0.9884,0.6128,1.39078,0.52308,1.14268,0.000155761,0.000155761,0.000155761
47,1654.6,0.97489,0.49315,1.07891,0.97425,0.95648,0.9886,0.61608,1.37901,0.52574,1.13461,0.000127467,0.000127467,0.000127467
48,1687.65,0.94709,0.47348,1.06128,0.97026,0.96259,0.99021,0.64121,1.29945,0.50424,1.09279,9.91726e-05,9.91726e-05,9.91726e-05
49,1720.29,0.95221,0.4811,1.05807,0.97668,0.96161,0.98977,0.63541,1.32257,0.50892,1.10838,7.08784e-05,7.08784e-05,7.08784e-05
50,1752.25,0.91234,0.47989,1.0433,0.98967,0.95774,0.99101,0.64274,1.31033,0.50254,1.10828,4.25842e-05,4.25842e-05,4.25842e-05
